User[2, M, 56, Self-employed, 70072]
User[17, M, 50, Academic/educator, 95350]
User[19, M, 1, K-12 student, 48073]
User[24, F, 25, Executive/managerial, 10023]
User[33, M, 45, Clerical/admin, 55421]
User[39, M, 18, College/grad student, 61820]
User[53, M, 25, Other, 96931]
User[54, M, 50, Academic/educator, 56723]
User[58, M, 25, Artist, 30303]
User[81, F, 25, Other, 60640]
User[88, F, 45, Academic/educator, 02476]
User[89, F, 56, Homemaker, 85749]
User[95, M, 45, Other, 98201]
User[102, M, 35, Unemployed, 20871]
User[107, M, 45, Tradesman/craftsman, 63129]
User[120, M, 25, Lawyer, 27106]
User[123, M, 35, Homemaker, 67208]
User[131, M, 18, College/grad student, 06520]
User[150, M, 35, Executive/managerial, 98144]
User[155, M, 35, Programmer, 07470]
User[166, M, 18, College/grad student, 92802]
User[169, M, 25, Executive/managerial, 55439]
User[175, F, 25, Artist, 95123]
User[180, M, 45, Programmer, 01603]
User[190, M, 25, Technician/engineer, 55125]
User[195, M, 25, Programmer, 10458]
User[208, M, 35, Technician/engineer, 55432]
User[235, M, 25, Other, 98153]
User[236, M, 25, Customer service, 55126]
User[259, M, 25, Academic/educator, 60615]
User[261, M, 25, Writer, 75801]
User[265, F, 35, Executive/managerial, 55116]
User[266, M, 35, Lawyer, 75229]
User[270, M, 50, Sales/marketing, 55414]
User[281, F, 35, Other, 94117]
User[287, M, 50, Retired, 94706]
User[292, M, 35, Executive/managerial, 19406]
User[293, M, 56, Academic/educator, 55337-4056]
User[297, M, 18, Artist, 97211]
User[299, M, 25, Programmer, 97370]
User[300, M, 25, Executive/managerial, 78664]
User[301, M, 18, College/grad student, 61820]
User[306, M, 18, Other, 53051]
User[307, M, 50, Self-employed, 90027]
User[315, F, 56, Academic/educator, 55105]
User[319, F, 50, Doctor/health care, 33436]
User[327, M, 35, Tradesman/craftsman, 55448]
User[332, M, 50, Academic/educator, 55109]
User[334, F, 56, Artist, 55113]
User[339, M, 50, Executive/managerial, 80207]
User[352, M, 18, College/grad student, 60115]
User[355, M, 18, Clerical/admin, 55107]
User[357, M, 18, Other, 98103]
User[361, F, 25, Sales/marketing, 94115]
User[409, M, 18, Programmer, 55122]
User[424, M, 25, Technician/engineer, 55112]
User[425, M, 25, Programmer, 55303]
User[437, M, 35, Technician/engineer, 55030]
User[438, M, 18, Lawyer, 53705]
User[439, M, 35, Sales/marketing, 55129]
User[440, M, 56, Academic/educator, 32940]
User[442, M, 25, Academic/educator, 55105]
User[445, M, 45, Programmer, 55117]
User[451, M, 56, Retired, 54720]
User[453, M, 18, College/grad student, 55102]
User[462, M, 18, Self-employed, 55416]
User[477, M, 35, Sales/marketing, 55410]
User[480, F, 18, College/grad student, 55422]
User[482, M, 25, Sales/marketing, 55305]
User[489, M, 18, College/grad student, 55455]
User[491, M, 18, College/grad student, 56043]
User[502, M, 35, Doctor/health care, 55126]
User[504, M, 25, Artist, 17003]
User[505, M, 35, Technician/engineer, 37815]
User[507, F, 25, Other, 55405]
User[515, M, 25, Academic/educator, 55406]
User[516, F, 56, Sales/marketing, 55033]
User[520, F, 35, Writer, 55104]
User[524, M, 18, Other, 91320]
User[526, M, 45, Technician/engineer, 94806]
User[529, M, 35, Programmer, 92009]
User[537, M, 45, Sales/marketing, 07704]
User[549, M, 25, Doctor/health care, 53217]
User[550, M, 45, Farmer, 21559]
User[551, M, 35, Writer, 55116]
User[558, M, 35, Writer, 55108]
User[560, M, 45, Scientist, 81335]
User[582, M, 18, College/grad student, 67042]
User[588, F, 25, Lawyer, 23220]
User[599, M, 50, Doctor/health care, 53711]
User[611, M, 35, Other, 20715]
User[622, M, 25, Other, 92612]
User[626, M, 18, College/grad student, 77005]
User[637, M, 35, Programmer, 97132]
User[650, M, 25, Technician/engineer, 49445]
User[661, M, 45, Academic/educator, 13114]
User[671, M, 18, College/grad student, 61761]
User[673, M, 25, Writer, 10023]
User[677, M, 50, Artist, 94122]
User[679, M, 35, Self-employed, 29681]
User[681, M, 35, Executive/managerial, 30501]
User[682, M, 25, College/grad student, 27510]
User[692, F, 25, Other, 85207]
User[701, F, 18, College/grad student, 01002]
User[710, M, 25, Writer, 85207]
User[711, M, 25, Tradesman/craftsman, 80521]
User[743, F, 1, Artist, 60660]
User[744, M, 25, Technician/engineer, 77007]
User[746, F, 18, Unemployed, 95019]
User[752, F, 25, Clerical/admin, 97401]
User[760, M, 56, Scientist, 94114]
User[764, M, 18, Writer, 85296]
User[770, M, 18, College/grad student, 98499]
User[771, F, 50, Academic/educator, 75087]
User[774, M, 18, College/grad student, 22903]
User[784, M, 18, Other, 11040]
User[785, M, 18, Unemployed, 29307]
User[791, M, 35, Executive/managerial, 27511]
User[833, M, 35, Executive/managerial, 46825]
User[839, M, 25, Other, 98103]
User[840, F, 25, Clerical/admin, 02828]
User[841, F, 50, Sales/marketing, 92119]
User[843, M, 25, Executive/managerial, 49321]
User[846, M, 25, Customer service, 80209]
User[870, F, 25, Academic/educator, 02144]
User[900, F, 56, Retired, 90066]
User[919, F, 35, Academic/educator, 92056]
User[928, F, 56, Self-employed, 98199]
User[935, M, 35, Sales/marketing, 60538]
User[946, M, 35, Executive/managerial, 48103-8929]
User[957, M, 35, Academic/educator, 29706]
User[965, M, 56, Executive/managerial, 10954]
User[980, M, 25, Doctor/health care, 92014]
User[983, F, 25, Self-employed, 99224]
User[994, M, 18, Artist, 92109]
User[1010, M, 25, Other, 10310]
User[1015, M, 35, Clerical/admin, 11220]
User[1017, M, 35, Other, 30906]
User[1018, M, 18, College/grad student, 95616]
User[1019, M, 35, Academic/educator, 60640]
User[1027, M, 18, College/grad student, 77005]
User[1028, F, 45, Executive/managerial, 03848]
User[1035, M, 18, Artist, 15956]
User[1036, M, 35, Executive/managerial, 28036]
User[1038, F, 56, Scientist, 20194]
User[1040, M, 25, Lawyer, 76309]
User[1048, M, 35, Doctor/health care, 75225]
User[1058, M, 25, Academic/educator, 97321]
User[1062, M, 50, Unemployed, 59457]
User[1068, F, 18, College/grad student, 77581]
User[1077, M, 25, Clerical/admin, 60660]
User[1084, M, 1, Unemployed, 03226]
User[1088, F, 1, K-12 student, 98103]
User[1098, M, 35, Executive/managerial, 94945]
User[1099, M, 25, Technician/engineer, 77059]
User[1101, M, 35, Academic/educator, 06417]
User[1105, M, 35, Doctor/health care, 48105]
User[1108, M, 56, Academic/educator, 93003]
User[1113, M, 18, College/grad student, 97215]
User[1117, M, 18, Sales/marketing, 10017]
User[1121, M, 56, Executive/managerial, 78701]
User[1124, M, 25, Artist, 60156]
User[1133, M, 18, Artist, 90038]
User[1134, M, 18, Writer, 19114]
User[1165, M, 25, Programmer, 45014]
User[1170, M, 56, Clerical/admin, 10023]
User[1172, F, 25, Other, 61801]
User[1178, M, 56, Other, 48186]
User[1180, F, 50, Writer, 95503]
User[1182, M, 1, K-12 student, 91326]
User[1197, M, 35, Academic/educator, 44077]
User[1202, M, 35, Programmer, 97006]
User[1203, F, 25, Academic/educator, 06417]
User[1211, M, 18, College/grad student, 10027]
User[1216, M, 25, Artist, 90292]
User[1218, M, 56, Scientist, 13207]
User[1224, M, 50, Retired, 02125]
User[1225, M, 45, Executive/managerial, 61081]
User[1228, M, 25, Academic/educator, 94720]
User[1239, F, 25, Writer, 50111]
User[1243, M, 35, Scientist, 92627]
User[1260, M, 25, Technician/engineer, 28262]
User[1264, M, 25, Academic/educator, 53711]
User[1267, M, 25, Scientist, 12203]
User[1273, M, 35, Artist, 19123]
User[1285, M, 35, College/grad student, 98125]
User[1289, M, 45, Doctor/health care, 78750]
User[1303, M, 25, Unemployed, 94111]
